NUGGETS ID,CLICK PACKAGES Shares,CLICK PACKAGES Clicks
560e9ae203d62b001f0000fa,5,138
564df9827e42bb002d0000d0,3,138
564e6bbc437ff00033000126,2,137
565383a468e72100240000dd,2,137
5604659139393900254e0000,2,137
561e6c4f9fa9c1002d00007b,2,137
5625574ff3f01f001e000270,10,137
564a2e82617ef00024000169,0,137
564b42b16b1b80002a00012a,4,137
5655d53acb3ed0002a0000bd,0,136
564f6a0b437ff000330002ae,1,135
56434ea6171e3000210000ff,2,135
56538f4568e721001800013e,1,134
565c5cc20bf5730024000014,3,133
562f9c841a3da20021000094,3,133
5630d7703c3b07002d00006e,0,132
563d22e5651ea20033000055,2,132
562fb5ff1a3da2001800014a,1,131
5511844d33653100189d0000,4,131
5655ef00cb3ed00032000213,3,131
56325ecd89a9dc002d000010,6,131
563bc375001beb001e000041,0,131
563ce38c888761002a0002ee,6,129
5638bf245d2a7f001e0001ee,3,128
5655c4d9cb3ed0001b000071,1,128
56391b6b56afa00023000146,3,127
564a189381e65b00300000dd,6,127
5633dfc2e8994a002100004a,0,126
564603021d0488002400017b,0,125
5616aa4e7f4fb5001b000003,4,124
562fc42d1a3da2001b0001bb,5,123
561285681c028c0019000063,3,123
564d02d6bbb6530018000033,4,123
5644d9d61ed25b0033000038,0,122
539c469e9123cd1f5f000011,0,122
562654720529a4001b0000c1,3,121
564106baee3509001b000116,0,120
5618217cec4dc9003300000c,2,120
560d680c623562000dae0400,10,119
56473dab344df60029000019,3,118
564ba5a156b15a001e00013a,0,118
5617e38398f11e00300001bf,3,118
56338b004369710021000145,2,116
56534acb3965e0001800015e,4,116
561d80d56c67d4001b000187,3,116
561fc59cd1de0e002d0000c9,9,113
562a35bdf30b1b002c000050,3,113
5654a6e5f84e51002100009f,2,113
56456cc81d048800330000d1,1,113
564275e988ba7f002d000411,1,112
561d2fcbb9507f001b000047,1,112
564621051d0488002f000268,1,112
56322bd2809c65001b000080,0,112
56410013ee3509002e00011e,6,111
5627a1fcde896b00300000c3,0,111
563b7a4a99835f00210000f6,3,111
5612bbd3b5bb9b001a000033,5,111
56265b4f2dd3e9001b000111,1,110
56167c78355f47002700007c,0,110
561816c6abe26f00300000af,7,110
56410334ea941c00300000ec,1,109
561fd65e0ed319003200004b,5,109
56152ab163fd0c0022000086,3,109
561fba00298f6f001800006b,5,106
56143451f032f2001c000001,4,106
5626d284de896b0020000047,13,106
564df76d7e42bb002d0000b9,5,105
56216b7b88f36b0021000089,5,104
563b60c72fa39c002a0000b2,13,102
5632443b809c65001b000111,10,102
565487af52621e0033000019,7,102
5612a0a44a51e7001f000173,0,102
560c0cb13530310019360200,5,101
560d9f9f445dbd05f1000001,3,101
563cd96f001beb0024000231,1,99
560e919e03d62b001c0000c1,1,99
